MYTYPE;ATTRIBUTE;ATTRIB_IDX;BASICTYPE;EXTERNALTYPE
SIMPLE_U16;none;0;TUSIGN16;TUSIGN16
SIMPLE_U32;none;0;TUSIGN32;TUSIGN32
SIMPLE_U8;none;0;TUSIGN8;TUSIGN8
SIMPLE_I16;none;0;TINT16;TINT16
SIMPLE_I32;none;0;TINT32;TINT32
SIMPLE_E8;none;0;TUSIGN8;TUSIGN8
SIMPLE_BIT8;none;0;TUSIGN8;TUSIGN8
SIMPLE_FLOAT;none;0;TFLOAT;TFLOAT
SIMPLE_DOUBLE;none;0;TDOUBLE;TDOUBLE
SIMPLE_CHAR;none;0;TCHAR;TCHAR
SIMPLE_WIDECHAR;none;0;TWIDECHAR;TWIDECHAR
TABENUM8;none;0;TUSIGN8;TUSIGN8
T_RANGE_FLT_U;unit;0;TUSIGN8;TUSIGN8
T_RANGE_FLT_U;hiLim;1;TFLOAT;TFLOAT
T_RANGE_FLT_U;loLim;2;TFLOAT;TFLOAT
T_RANGEFLTU_DESCRIPTOR;maxHi;0;TFLOAT;TFLOAT
T_RANGEFLTU_DESCRIPTOR;maxLo;1;TFLOAT;TFLOAT
T_RANGEFLTU_DESCRIPTOR;ptrEnumTable;2;T_RANGE_E8*;T_RANGE_E8*
T_INT16;none;0;TINT16;TINT16
T_FLOAT;none;0;TFLOAT;TFLOAT
T_CONST_U8;none;0;TUSIGN8;TUSIGN8
T_USIGN8;none;0;TUSIGN8;TUSIGN8
T_RANGE_U8;min;0;TUSIGN8;TUSIGN8
T_RANGE_U8;max;1;TUSIGN8;TUSIGN8
T_RANGE_U8;increment;2;TUSIGN8;TUSIGN8
T_RANGE_E8;ptrCodeTab;0;TUSIGN8*;TUSIGN8*
T_RANGE_E8;numberOfCodes;1;TUSIGN8;TUSIGN8
T_RANGE_I16;min;0;TUSIGN16;TUSIGN16
T_RANGE_I16;max;1;TUSIGN16;TUSIGN16
T_RANGE_I16;increment;2;TUSIGN16;TUSIGN16
T_RANGE_FLOAT;min;0;TFLOAT;TFLOAT
T_RANGE_FLOAT;max;1;TFLOAT;TFLOAT
T_RANGE_FLOAT;increment;2;TFLOAT;TFLOAT
T_BIT8;;0;TUSIGN8;TUSIGN8
T_RANGE_BIT8;none;0;TUSIGN8;TUSIGN8
T_DATA_OBJ;none;0;TUSIGN8;TUSIGN8
T_FIXFLT_Q7_24;none;0;TINT32;TFLOAT
T_RANGE_FIXFLT_Q7_24;min;0;TFLOAT;TFLOAT
T_RANGE_FIXFLT_Q7_24;max;1;TFLOAT;TFLOAT
T_RANGE_FIXFLT_Q7_24;scale;2;TFLOAT;TFLOAT
T_SIMULATION_PARAMETERS;value1;0;TUSIGN32;TUSIGN32
T_SIMULATION_PARAMETERS;value2;1;TUSIGN32;TUSIGN32
T_SIMULATION_PARAMETERS;value3;2;TUSIGN32;TUSIGN32
T_SIMULATION_PARAMETERS;value4;3;TUSIGN32;TUSIGN32
T_SIMULATION_PARAMETERS;pressure;4;TFLOAT;TFLOAT
T_SIMULATION_PARAMETERS;sensorTemperature;5;TFLOAT;TFLOAT
T_SIMULATION_PARAMETERS;staticPressure;6;TFLOAT;TFLOAT
T_SIMULATION_PARAMETERS;enable;7;TUSIGN8;TUSIGN8
PD_CONFIGURATION;bandLo;0;TFLOAT;TFLOAT
PD_CONFIGURATION;bandHi;1;TFLOAT;TFLOAT
PD_CONFIGURATION;detectionTime;2;TUSIGN8;TUSIGN8
PD_CONFIGURATION;maxPressureDev;3;TUSIGN8;TUSIGN8
PD_CONFIGURATION;retrain;4;TUSIGN8;TUSIGN8
PD_CONFIGURATION;trainTime;5;TUSIGN8;TUSIGN8
PD_CONFIGURATION;trainRetries;6;TUSIGN8;TUSIGN8
PD_CONFIGURATION;sensitivity;7;TUSIGN8;TUSIGN8
PD_CONFIGURATION;bandAutotuning;8;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;bandLoDescriptorMin;0;TFLOAT;TFLOAT
T_PD_CONFIGURATION_DESCRIPTOR;bandLoDescriptorMax;1;TFLOAT;TFLOAT
T_PD_CONFIGURATION_DESCRIPTOR;bandLoDescriptorIncrement;2;TFLOAT;TFLOAT
T_PD_CONFIGURATION_DESCRIPTOR;bandHiDescriptorMin;3;TFLOAT;TFLOAT
T_PD_CONFIGURATION_DESCRIPTOR;bandHiDescriptorMax;4;TFLOAT;TFLOAT
T_PD_CONFIGURATION_DESCRIPTOR;bandHiDescriptorIncrement;5;TFLOAT;TFLOAT
T_PD_CONFIGURATION_DESCRIPTOR;detectionTimeDescriptorMin;6;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;detectionTimeDescriptorMax;7;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;detectionTimeDescriptorIncrement;8;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;maxPressureDevDescriptorMin;9;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;maxPressureDevDescriptorMax;10;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;maxPressureDevDescriptorIncrement;11;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;retrainDescriptorPtrCodeTab;12;TUSIGN8;TUSIGN8*
T_PD_CONFIGURATION_DESCRIPTOR;retrainDescriptorNumberOfCodes;13;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;trainTimeDescriptorMin;14;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;trainTimeDescriptorMax;15;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;trainTimeDescriptorIncrement;16;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;trainRetriesDescriptorMin;17;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;trainRetriesDescriptorMax;18;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;trainRetriesDescriptorIncrement;19;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;sensitivityDescriptorPtrCodeTab;20;TUSIGN8;TUSIGN8*
T_PD_CONFIGURATION_DESCRIPTOR;sensitivityDescriptorNumberOfCodes;21;TUSIGN8;TUSIGN8
T_PD_CONFIGURATION_DESCRIPTOR;bandAutotuningDescriptorPtrCodeTab;22;TUSIGN8;TUSIGN8*
T_PD_CONFIGURATION_DESCRIPTOR;bandAutotuningDescriptorNumberOfCodes;23;TUSIGN8;TUSIGN8
T_RAW_SENSOR_VALUES;t1;0;TUSIGN32;TUSIGN32
T_RAW_SENSOR_VALUES;t2;1;TUSIGN32;TUSIGN32
T_RAW_SENSOR_VALUES;t3;2;TUSIGN32;TUSIGN32
T_RAW_SENSOR_VALUES;t4;3;TUSIGN32;TUSIGN32
T_RAW_SENSOR_VALUES;status;4;TUSIGN8;TUSIGN8
T_RAW_SENSOR_VALUES;checkSum;5;TUSIGN8;TUSIGN8
T_RAW_SENSOR_VALUES;t1t2internalStatus;6;TUSIGN8;TUSIGN8
T_RAW_SENSOR_VALUES;t4internalStatus;7;TUSIGN8;TUSIGN8
T_RAW_SENSOR_VALUES;spInternalStatus;8;TUSIGN8;TUSIGN8
T_RAW_SENSOR_VALUES;startCode;9;TUSIGN8;TUSIGN8
T_DIAGNOSISSIMULATION_PARAMETERS;diagnosis;0;TUSIGN32;TUSIGN32
T_DIAGNOSISSIMULATION_PARAMETERS;enable;1;TUSIGN8;TUSIGN8
TRIMMING_PARAMETERS;calLo;0;TFLOAT;TFLOAT
TRIMMING_PARAMETERS;calHi;1;TFLOAT;TFLOAT
TRIMMING_PARAMETERS;unCalLo;2;TINT32;TINT32
TRIMMING_PARAMETERS;unCalHi;3;TINT32;TINT32
TRIMMING_PARAMETERS;gradient;4;TFLOAT;TFLOAT
TRIMMING_PARAMETERS;offset;5;TINT32;TINT33
